Planet_name,Hubble,Spitzer,JWST
51 Peg b,No,Yes,No
55 Cnc e,No,Yes,No
CoRoT-2 b,No,Yes,No
GJ 436 b,No,Yes,No
HAT-P-2 b,No,Yes,No
HAT-P-7 b,No,Yes,No
HATS-24 b,No,No,No
HD 149026 b,No,Yes,No
HD 179949 b,No,Yes,No
HD 189733 b,No,Yes,No
HD 209458 b,No,Yes,No
HD 80606 b,No,Yes,Yes
KELT-1 b,No,Yes,No
KELT-9 b,No,Yes,No
KELT-16 b,No,Yes,No
KELT-20 b,No,No,No
Kepler-7 b,No,No,No
Kepler-8 b,No,No,No
Kepler-10 b,No,No,No
Kepler-12 b,No,No,No
KOI-13 b,No,No,No
Kepler-41 b,No,No,No
Kepler-76 b,No,No,No
LHS 3844 b,No,Yes,Yes
LTT 9779 b,No,Yes,Yes
MASCARA-1 b,No,Yes,No
Qatar-1 b,No,Yes,No
TOI-519 b,No,No,No
WASP-4 b,No,No,No
WASP-5 b,No,No,No
WASP-12 b,Yes,Yes,No
WASP-14 b,No,Yes,No
WASP-18 b,Yes,Yes,No
WASP-19 b,No,Yes,No
WASP-33 b,No,Yes,No
WASP-36 b,No,No,No
WASP-43 b,Yes,Yes,Yes
WASP-46 b,No,No,No
WASP-64 b,No,No,No
WASP-76 b,No,Yes,No
WASP-77 A b,No,No,No
WASP-78 b,No,No,No
WASP-82 b,No,No,No
WASP-100 b,No,No,No
WASP-103 b,Yes,Yes,No
WASP-121 b,Yes,No,Yes
WASP-142 b,No,No,No
WASP-173 A b,No,No,No
XO-3 b,No,Yes,No
ups And b,No,Yes,No
K2-141 b,No,Yes,Yes
GJ 1214 b,No,No,Yes
NGTS-10 b,No,No,Yes
GJ 367 b,No,No,Yes
TOI-561 b,No,No,Yes
TRAPPIST-1 b,No,No,Yes
TRAPPIST-1 c,No,No,Yes
TOI-1685 b,No,No,Yes
K2-22 b,No,No,Yes
TOI-2445 b,No,No,Yes
